unit,sex,age,nace_r2,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
PC,F,Y15-64,NRP,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.5 b
PC,F,Y15-64,NRP,UK	: c	: c	: c	: c	: c	: 	: c	: 	: c	: 	: bc
PC,F,Y15-64,O-R_U,AT	0.9 	0.7 u	0.9 	0.7 u	0.8 u	1.0 	1.0 	0.9 u	1.1 	0.8 u	1.0 bu
PC,F,Y15-64,O-R_U,BE	2.3 	2.4 b	1.9 	1.8 	1.8 	1.9 	1.8 	2.0 	1.8 	2.3 	2.4 b
PC,F,Y15-64,O-R_U,BG	: u	: u	: u	: u	: u	: u	: u	: bu	: bu	: u	: bu
PC,F,Y15-64,O-R_U,CH	1.4 	1.5 	1.5 	1.7 	1.4 	1.6 	1.4 	1.8 	1.8 b	1.5 	1.3 b
PC,F,Y15-64,O-R_U,CY	1.5 u	: u	: u	: u	: u	: u	1.5 u	1.2 u	1.5 u	1.7 bu	1.4 bu
PC,F,Y15-64,O-R_U,CZ	0.2 u	0.2 u	0.3 u	0.2 u	0.4 u	0.3 u	0.3 u	0.4 bu	0.3 u	0.2 u	0.3 bu
PC,F,Y15-64,O-R_U,DE	0.3 	0.4 	0.4 	0.4 	0.4 	0.4 	0.5 	0.6 	0.5 b	0.5 	0.6 b
PC,F,Y15-64,O-R_U,DK	1.2 	1.4 b	1.8 b	0.9 	0.8 	1.0 	1.2 	1.1 	1.3 	1.7 	1.5 b
PC,F,Y15-64,O-R_U,EA19	1.9 	1.9 	1.9 	1.9 	1.8 	1.7 	1.9 	1.9 	1.9 	1.9 	2.0 b
PC,F,Y15-64,O-R_U,EE	: u	: u	: c	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y15-64,O-R_U,EL	0.5 u	0.5 u	0.7 u	0.5 u	0.5 u	0.6 u	0.8 u	0.8 	0.5 u	0.5 bu	0.4 bu
PC,F,Y15-64,O-R_U,ES	3.5 	3.8 	3.6 	3.6 	3.4 	3.7 	3.4 	3.7 	3.9 	4.2 b	4.4 b
PC,F,Y15-64,O-R_U,EU15	1.6 	1.7 	1.6 	1.7 	1.6 	1.6 	1.7 	1.7 	1.7 	1.8 	1.8 b
PC,F,Y15-64,O-R_U,EU27_2020	1.8 	1.8 	1.8 	1.9 	1.8 	1.8 	1.9 	1.9 	1.9 	1.9 	2.0 b
PC,F,Y15-64,O-R_U,EU28	1.5 	1.6 	1.6 	1.6 	1.6 	1.5 	1.6 	1.6 	1.6 	1.6 	1.7 b
PC,F,Y15-64,O-R_U,FI	4.9 	4.7 	5.0 	5.1 	4.7 	4.7 	5.1 	5.1 	5.0 b	3.7 	4.1 b
PC,F,Y15-64,O-R_U,FR	3.7 	3.8 	3.6 	3.7 	3.4 b	3.1 	3.8 	3.6 	3.7 	3.9 	3.6 b
PC,F,Y15-64,O-R_U,HR	2.0 u	2.1 u	2.9 u	1.3 u	1.2 bu	1.9 u	1.6 u	1.4 u	1.3 u	2.0 u	1.8 bu
PC,F,Y15-64,O-R_U,HU	1.6 	1.4 	1.3 	2.8 	2.7 	2.3 	2.4 	2.8 	2.3 	2.0 	2.1 b
PC,F,Y15-64,O-R_U,IE	1.4 	0.6 bu	0.5 u	0.6 u	: u	: u	0.6 u	0.9 u	0.7 u	0.6 u	0.8 bu
PC,F,Y15-64,O-R_U,IS	3.1 	3.4 	3.4 	4.4 	4.3 	4.6 	4.7 	3.9 	3.5 	4.1 	3.9 b
PC,F,Y15-64,O-R_U,IT	1.8 	1.6 	1.6 	1.4 	1.3 	1.4 	1.5 	1.4 	1.3 	1.2 	1.5 b
PC,F,Y15-64,O-R_U,LT	0.5 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y15-64,O-R_U,LU	1.1 u	: u	1.6 u	1.5 bu	1.3 u	1.1 u	: u	: u	: u	: bu	: bu
